1,1,以下について説明できること。[[enter]]ア) プロトコルの意味と、実際に通信技術で使われているプロトコルの方法(1つ以上)。[[enter]]イ) 暗号化の意義と、実際に通信技術で使われている暗号化の方法(1つ以上)。
2,2,通信に関する次の用語について説明できること。[[enter]]ア) LAN[[enter]]イ) WAN[[enter]]ウ) ルーター[[enter]]エ) ハブ[[enter]]オ) DHCP[[enter]]カ) ネゴシエーション[[enter]]キ) ゲートウェイ[[enter]]ク) Wi-Fi[[enter]]ケ) IPアドレス[[enter]]コ) ドメイン[[enter]]サ) URL[[enter]]シ) Bluetooth
3,3,セキュリティに関する次の用語を説明し、それぞれの対策や活用方法について説明できること。[[enter]]ア) パスワード[[enter]]イ) コンピューターウィルス[[enter]]ウ) ファイアーウォール[[enter]]エ) SSL[[enter]]オ) フィッシング[[enter]]カ) デジタル証明書[[enter]]キ) 脆弱性
4,4,各種ユーザ認証方法の特徴をあげ、長所と短所について説明できること。
5,5,家庭内でインターネットに接続している機器をすべてあげ、それらがインターネットをどのように使っているのかを調べること。
6,6,家庭内や団本部などでLANを構築し、複数台のパソコンでファイルやプリンターを共有、インターネットを利用できるようにし、使用した機器や設置場所、機器とパソコンの設定状況について報告すること。
7,7,任意のクラウドサービスの特徴をあげ、特徴を活かした利用方法と、利用上留意すべきことを説明できること。
8,8,任意のWebサイトについて、使い勝手の良否やセキュリティ・著作権侵害などの問題を評価し、改善方法についてまとめて提出すること。
