1,1,以下について説明できること。[[enter]]ア) オペレーティングシステム[[enter]]イ) コンパイラーとインタープリターの違い。[[enter]]ウ) プログラミング言語を5種類あげ、特徴と用途。[[enter]]エ) クライアント・サーバーモデル。
2,2,任意のプログラム言語で、以下のプログラムを作成し、実際に実行させる。[[enter]]ア) 整数Nを入力し、1行目’*’, 2行目’**’, 3行目’***’…のように、N行分、行番号の数だけの’*’を出力する。[[enter]]イ) 名前がランダムに出力される「くじびき」を作り、何度か実行した後、誰が何回選ばれたか集計を表示する。
3,3,団行事(体験入隊会やバザーなど)のポスターやチラシを作成できること(文字だけでなく、イラストや写真などの図を含めること)。
4,4,プレゼンテーションソフトを利用し、団や隊の活動を発表する。
5,5,表計算ソフトなどを利用し、出席状況・進級状況・会計などを、継続管理できる方法でまとめる。
6,6,スカウト活動を紹介する3分以上の動画を作成できること。
7,7,コンピューターやインターネットを活用した便利なサービス(情報検索・通販・各種予約・地図情報など)のうち1つについて、どのような仕組みで実現されているか調べ報告する。
8,8,コンピューターやスマートフォンなどを活用した新しいサービスを考案し、実際にシステムを構築するか、構築するのに必要なハードウエア・ソフトウエアについてまとめる。
